,Id,Date,Text,State
424910,938747549774766080,2017-12-07,"['tweet', 'peeps', 'hope', 'everyone', 'safe', 'sound', 'raging', 'prayers', 'everyone', 'live', 'area', 'god', 'bless', 'keep', 'safe']",Pennsylvania
425865,938741643347484672,2017-12-07,"['prayers', 'southern']",Virginia
425954,938741152097845249,2017-12-07,"['tearing', 'absoutley', 'terrifying', 'seeing', 'horses', 'led', 'safety', 'really', 'got']",Iowa
426016,938740699163488257,2017-12-07,"['force', 'commuters', 'take', 'fiery', 'motorway', 'gauntlets', 'flames', 'destroy', 'burn', 'horses', 'alive']",Cymru / Wales
426939,938734001401028611,2017-12-07,"['belair', 'mansions', 'threat', 'rage']",Florida
426982,938733665034604544,2017-12-07,"['three', 'large', 'burning', 'us', 'right', 'theyre']",Paraná
427467,938729297795305472,2017-12-07,"['hurricanes', 'handle', 'im', 'completely', 'horrified']",Texas
427566,938728327917068294,2017-12-07,"['fighting', 'relentless']",California
427736,938726812305248256,2017-12-07,"['latest', 'coming', 'including', 'awesome', 'video', 'man', 'rescuing', 'animal', 'side', 'road', 'sweet', 'story', 'next', 'gmrva']",Virginia
428245,938721248263073792,2017-12-07,"['tear', 'indiscriminate', 'path', 'belair']",Sarawak
428733,938716687565803520,2017-12-07,"['lapd', 'recommends', 'drivers', 'avoid', 'navigation', 'apps', 'show', 'routes', 'uncongested', 'essentially', 'streets']",New York
429081,938712841938526208,2017-12-07,"['prayers', 'grace', 'people', 'affected']",North Carolina
429184,938711542811435008,2017-12-07,"['ferocious', 'ravage', 'southern', 'evacuating', 'communities']",Sarawak
429510,938707642515640321,2017-12-07,"['hundreds', 'homes', 'lost', 'southern', 'keep', 'prayers']",Texas
429551,938707052762882048,2017-12-07,"['ferocious', 'ravage', 'southern', 'evacuating', 'communities']",Sarawak
429786,938704009556299778,2017-12-07,"['ive', 'watching', 'videos', 'looks', 'like', 'imagined', 'hell', 'would', 'scary', 'thoughts', 'goes', 'people', 'affected', 'anyone', 'said', 'anything', 'relief', 'efforts', 'cali']",Texas
429939,938702323538448384,2017-12-07,"['sounding', 'alarm']",دبي
430158,938699988628066304,2017-12-07,"['force', 'thousands', 'evacuate', 'keep', 'families', 'prayers']",North Carolina
430470,938696035760607232,2017-12-07,"['people', 'talking', 'air', 'quality', 'southern', 'sudden', 'awful', 'air', 'awful', 'whole', 'time', 'ive', 'dont', 'believe', 'ask', 'skin']",California
430601,938694536565374976,2017-12-07,"['heart', 'thoughts', 'prayers', 'affected', 'southern', 'thank', 'first', 'responders', 'californiawildfires']",California
430603,938694473244012545,2017-12-07,"['intense', 'surreal', 'activity', 'along', 'north', 'ojai', 'winds', 'gusting', 'roads', 'covered', 'rocks', 'embers', 'flying', 'around', 'thomasfire']",California
431278,938685776430354437,2017-12-07,"['time', 'get', 'grooving', 'topics', 'today', 'al', 'frankens', 'announcement', 'time', 'produce', 'see']",Texas
431654,938681244002455552,2017-12-07,"['intensify', 'californiathis', 'autumn', 'keeps', 'hardlots', 'families', 'lost', 'homes', 'completelyterrible', 'situation']",Canelones
431991,938677288144703488,2017-12-07,"['overrun', 'los', 'angeles', 'ventura', 'thomasfire']",New York
432693,938669732831432704,2017-12-07,"['prayers', 'goes', 'people', 'thats', 'affected', 'southern']",Louisiana
432705,938669670516887552,2017-12-07,"['enter', 'heart', 'los', 'angeles']",England
432844,938668226204094465,2017-12-07,"['red', 'flag', 'warnings', 'nevada', 'cawx', 'nvwx']",Ohio
432880,938667968535375872,2017-12-07,"['red', 'flag', 'warnings', 'nevada', 'cawx', 'nvwx']",Ohio
432975,938667066680397824,2017-12-07,"['update', 'southern', 'know', 'people', 'evacuated', 'massive', 'smoke', 'plumes', 'seen', 'space', 'ferocious', 'winds', 'hell']",Aragón
433124,938665674423046144,2017-12-07,"['im', 'praying', 'everyone', 'control']",Pennsylvania
433142,938665594315870208,2017-12-07,"['near', 'please', 'put', 'buckets', 'water', 'animals', 'exhausted', 'scared', 'running', 'homes', 'caught', 'la', 'losangeles', 'losangelesfire']",California
433326,938664111386300416,2017-12-07,"['overrun', 'los', 'angeles', 'ventura', 'thomasfire']",Wisconsin
433751,938661176661217280,2017-12-07,"['devastating', 'hearing', 'seeing', 'awful', 'thoughts', 'prayers', 'go', 'loved', 'ones', 'italy', 'thinking', 'stay', 'safe']",Lombardia
434554,938656799019765760,2017-12-07,"['ready', 'lastminute', 'evacuation', 'case', 'heres', 'prepare']",Nevada
434829,938654833103507456,2017-12-07,"['family', 'safe']",Tennessee
434926,938654197712646144,2017-12-07,"['ive', 'seeing', 'much', 'heartbreak', 'devastation', 'within', 'last', 'couple', 'days', 'internet', 'need', 'make', 'massive', 'changes', 'world', 'help', 'save', 'stopping', 'climate', 'change', 'worldlove', 'prayforla', 'beasuperheroforearth']",England
435185,938652416504774656,2017-12-07,"['thoughts', 'affected', 'southern', 'youre', 'looking', 'way', 'help', 'please', 'visit']",California
435281,938651895572369408,2017-12-07,"['reports', 'former', 'nets', 'teammate', 'andrei', 'kirilenko', 'head', 'russian', 'basketball', 'federation', 'lost', 'los', 'angeles', 'home', 'southern']",New Jersey
435363,938651420135272448,2017-12-07,"['friends', 'followers', 'southern', 'los', 'angeles', 'please', 'stay', 'safe', 'im', 'thinking']",Queensland
435556,938650269344260096,2017-12-07,"['sad', 'holidays', 'hundreds', 'homes', 'destroyed', 'multiple', 'southern', 'since', 'monday', 'skirballfire']",Florida
436351,938645523598381056,2017-12-07,"['tujunga', 'minutes', 'wifes', 'family', 'please', 'pray']",California
436579,938644424220852224,2017-12-07,"['heres', 'date', 'source', 'could', 'find', 'also', 'text', 'notifyla', 'evacuation', 'alerts', 'send', 'spam', 'emergencies', 'stay', 'safe']",California
